address,price,details,bedrooms,bathrooms,category,city
"47 Elwin Rd, Brampton, ON L6X 5J7",1299000.0,4 bds3 ba- House for sale,4.0,3.0,House,Brampton
"43 Amboise Cres, Brampton, ON L7A 3H2",937900.0,2 bds3 ba- House for sale,2.0,3.0,House,Brampton
"8 Binsell Ave, Brampton, ON L6V 1W1",799999.0,4 bds2 ba- House for sale,4.0,2.0,House,Brampton
"148 Tiller Trl, Brampton, ON L6X 4S8",949990.0,3 bds4 ba- House for sale,3.0,4.0,House,Brampton
"5 Anatolia St, Brampton, ON L6P 4L3",2699900.0,5 bds6 ba- House for sale,5.0,6.0,House,Brampton
"22 Foxacre Row, Brampton, ON L6V 3P5",749000.0,5 bds4 ba- House for sale,5.0,4.0,House,Brampton
"17 Crescent Hill Dr S, Brampton, ON L6S 2P4",1949900.0,4 bds4 ba- House for sale,4.0,4.0,House,Brampton
"105 Hansen Rd #10, Brampton, ON L6V 3C9",599999.0,3 bds1 ba- Townhouse for sale,3.0,1.0,Townhouse,Brampton
"138 Agava St, Brampton, ON L7A 4S1",859000.0,3 bds3 ba- Townhouse for sale,3.0,3.0,Townhouse,Brampton
"26 Sahara Trl, Brampton, ON L6R 1P3",1079000.0,4 bds4 ba- House for sale,4.0,4.0,House,Brampton
"43 Lacorra Way #31, Brampton, ON L6R 3P2",779000.0,2 bds4 ba- Townhouse for sale,2.0,4.0,Townhouse,Brampton
"380 Conservation Dr, Brampton, ON L6Z 0B9",1279000.0,4 bds2 ba- House for sale,4.0,2.0,House,Brampton
"68 Atkins Cir, Brampton, ON L6X 4B5",899000.0,3 bds4 ba- House for sale,3.0,4.0,House,Brampton
"20 Mancroft Cres, Brampton, ON L6S 2V4",1050000.0,4 bds3 ba- House for sale,4.0,3.0,House,Brampton
"458 Brisdale Dr, Brampton, ON L7A 4J4",1399000.0,6 bds5 ba- House for sale,6.0,5.0,House,Brampton
"59 Metzak Dr, Brampton, ON L6Z 4N4",979000.0,5 bds4 ba- House for sale,5.0,4.0,House,Brampton
"44 Fresnel Rd, Brampton, ON L7A 4Z2",859900.0,3 bds3 ba- Townhouse for sale,3.0,3.0,Townhouse,Brampton
"9 Faye St #30, Brampton, ON L6P 4M9",948888.0,3 bds4 ba- Townhouse for sale,3.0,4.0,Townhouse,Brampton
"1 Hunters Cv, Brampton, ON L6S 1S3",789000.0,4 bds3 ba- House for sale,4.0,3.0,House,Brampton
"26 Village Ct, Brampton, ON L6W 1A6",599999.0,3 bds2 ba- Condo for sale,3.0,2.0,Condo,Brampton
"46 Dearbourne Blvd #44, Brampton, ON L6T 1J7",599999.0,3 bds2 ba- Condo for sale,3.0,2.0,Condo,Brampton
"44 Fieldview Dr, Brampton, ON L6P 2X9",2311000.0,5 bds8 ba- House for sale,5.0,8.0,House,Brampton
"33 Marysfield Dr, Brampton, ON L6P 0J2",1999913.0,3 bds3 ba- House for sale,3.0,3.0,House,Brampton
"1 Fletchers Creek Blvd, Brampton, ON L6X 4R7",1249000.0,4 bds5 ba- House for sale,4.0,5.0,House,Brampton
"60 Studebaker Trl, Brampton, ON L7A 3A5",849900.0,5 bds3 ba- House for sale,5.0,3.0,House,Brampton
"456 Remembrance Rd, Brampton, ON L7A 5E1",999990.0,3 bds4 ba- Townhouse for sale,3.0,4.0,Townhouse,Brampton
"26 Village Ct #13, Brampton, ON L6W 1A6",599999.0,3 bds2 ba- Townhouse for sale,3.0,2.0,Townhouse,Brampton
"23 Hawtrey Rd, Brampton, ON L7A 4X9",1674813.0,5 bds5 ba- House for sale,5.0,5.0,House,Brampton
"1 Newdale Pl, Brampton, ON L6S 5Z2",1249000.0,6 bds4 ba- House for sale,6.0,4.0,House,Brampton
"6 Thorson Gate, Brampton, ON L6V 3W9",899000.0,3 bds3 ba- House for sale,3.0,3.0,House,Brampton
"66 Nuffield St, Brampton, ON L6S 5Y8",999000.0,4 bds4 ba- House for sale,4.0,4.0,House,Brampton
"11 Topiary Ln, Brampton, ON L7A 2K6",799000.0,3 bds4 ba- House for sale,3.0,4.0,House,Brampton
"19 Noble Oaks Rd, Brampton, ON L6Y 2Z6",1649700.0,4 bds5 ba- House for sale,4.0,5.0,House,Brampton
"3 Faye St, Brampton, ON L6P 4M9",949900.0,4 bds4 ba- Townhouse for sale,4.0,4.0,Townhouse,Brampton
"25 Bansbury Cir, Brampton, ON L6P 4H5",1749000.0,8 bds6 ba- House for sale,8.0,6.0,House,Brampton
"42 Peace Valley Cres, Brampton, ON L6R 1G3",799000.0,4 bds4 ba- House for sale,4.0,4.0,House,Brampton
"20 Dragon Tree Cres, Brampton, ON L6R 2P6",1249000.0,7 bds5 ba- House for sale,7.0,5.0,House,Brampton
"51 Cassander Cres, Brampton, ON L6Z 1Z5",917000.0,3 bds3 ba- House for sale,3.0,3.0,House,Brampton
"151 Pressed Brick Dr, Brampton, ON L6V 4K6",789011.0,3 bds4 ba- Townhouse for sale,3.0,4.0,Townhouse,Brampton
"40 Cavendish Cres, Brampton, ON L6T 1Z4",850000.0,3 bds3 ba- House for sale,3.0,3.0,House,Brampton
"12 Links Ln, Brampton, ON L6Y 5G9",2499000.0,4 bds5 ba- House for sale,4.0,5.0,House,Brampton
"9 Natural Ter, Brampton, ON L6Y 6A5",2289000.0,4 bds6 ba- House for sale,4.0,6.0,House,Brampton
"65 Yorkland Blvd #701, Brampton, ON L6P 4M5",559900.0,2 bds2 ba- Condo for sale,2.0,2.0,Condo,Brampton
"241 Queen Mary Dr, Brampton, ON L7A 3L3",1199000.0,6 bds4 ba- House for sale,6.0,4.0,House,Brampton
"52 Brunswick St, Brampton, ON L6X 4Z9",999900.0,5 bds4 ba- House for sale,5.0,4.0,House,Brampton
"134 Canada Goose Blvd, Brampton, ON L6R 2B1",1100000.0,4 bds3 ba- House for sale,4.0,3.0,House,Brampton
"900 Central Park Dr #66, Brampton, ON L6S 3J6",599900.0,3 bds1 ba- House for sale,3.0,1.0,House,Brampton
"4 Miami Grv, Brampton, ON L6Z 0H7",824900.0,4 bds3 ba- Townhouse for sale,4.0,3.0,Townhouse,Brampton
"94 Black Oak Dr, Brampton, ON L6R 1B8",899900.0,3 bds4 ba- House for sale,3.0,4.0,House,Brampton
"32 Black Bear Trl, Brampton, ON L6Y 5L4",1749900.0,5 bds6 ba- House for sale,5.0,6.0,House,Brampton
"8 Laurier Ct, Brampton, ON L6Z 1J5",679900.0,3 bds2 ba- Townhouse for sale,3.0,2.0,Townhouse,Brampton
"8 Lisa St #1201, Brampton, ON L6T 4S6",544000.0,2 bds2 ba- Condo for sale,2.0,2.0,Condo,Brampton
"45 Kempenfelt Trl, Brampton, ON L7A 0Z7",899000.0,4 bds3 ba- Townhouse for sale,4.0,3.0,Townhouse,Brampton
"42 Haverstock Cres, Brampton, ON L7A 4E1",1599999.0,4 bds5 ba- House for sale,4.0,5.0,House,Brampton
"3 Princess Valley Cres, Brampton, ON L6P 2B8",1699000.0,4 bds5 ba- House for sale,4.0,5.0,House,Brampton
"56 Woolridge Ct, Brampton, ON L6Y 3V7",999000.0,5 bds4 ba- House for sale,5.0,4.0,House,Brampton
"52 Whitewash Way, Brampton, ON L6X 4V4",1399000.0,4 bds4 ba- House for sale,4.0,4.0,House,Brampton
"10 Gold Pine Ct, Brampton, ON L6S 2K6",699900.0,3 bds2 ba- Townhouse for sale,3.0,2.0,Townhouse,Brampton
"200 Malta Ave #TOWNHOUSE, Brampton, ON L6Y 6H8",775000.0,4 bds3 ba- Condo for sale,4.0,3.0,Condo,Brampton
"139 Greene Dr, Brampton, ON L6V 2P2",720000.0,3 bds3 ba- Townhouse for sale,3.0,3.0,Townhouse,Brampton
"13 Shiff Cres, Brampton, ON L6Z 0H5",699000.0,3 bds3 ba- Townhouse for sale,3.0,3.0,Townhouse,Brampton
"LOT 11 Street #A, Brampton, ON L6P 2J9",2059990.0,4 bds4 ba- House for sale,4.0,4.0,House,Brampton
"48 Beacon Hill Dr, Brampton, ON L6X 0V7",2500000.0,3 bds3 ba- House for sale,3.0,3.0,House,Brampton
"23 Garrison Sq, Brampton, ON L6S 2H3",789000.0,4 bds2 ba- House for sale,4.0,2.0,House,Brampton
"12 Hindquarter Ct, Brampton, ON L6S 2C3",729900.0,4 bds2 ba- House for sale,4.0,2.0,House,Brampton
"176 Church St E, Brampton, ON L6V 1H1",999000.0,3 bds3 ba- House for sale,3.0,3.0,House,Brampton
"49 Campwood Cres, Brampton, ON L6P 3S6",969900.0,3 bds3 ba- House for sale,3.0,3.0,House,Brampton
"27 Gower Cres, Brampton, ON L6R 0Y1",949900.0,4 bds4 ba- House for sale,4.0,4.0,House,Brampton
"330 Mill St S #105, Brampton, ON L6Y 3V3",459900.0,1 bd2 ba- Condo for sale,1.0,2.0,Condo,Brampton
"64 Leeward Dr, Brampton, ON L6S 5V8",999000.0,3 bds3 ba- House for sale,3.0,3.0,House,Brampton
"14 Lost Canyon Way, Brampton, ON L6X 3A5",1799900.0,4 bds4 ba- House for sale,4.0,4.0,House,Brampton
"17 Buster Dr, Brampton, ON L6Y 5R2",1350000.0,4 bds5 ba- House for sale,4.0,5.0,House,Brampton
"30 Truffle Ct, Brampton, ON L7A 5A6",974900.0,4 bds3 ba- House for sale,4.0,3.0,House,Brampton
"24 Kindle Ct, Brampton, ON L6Z 1B2",795000.0,4 bds2 ba- House for sale,4.0,2.0,House,Brampton
"100 Starhill Cres, Brampton, ON L6R 2P8",839900.0,3 bds4 ba- House for sale,3.0,4.0,House,Brampton
"13 Fawson Cove Way, Brampton, ON L6R 0G7",799000.0,3 bds3 ba- House for sale,3.0,3.0,House,Brampton
"6 Chinzan Way, Brampton, ON L6X 0X3",1699990.0,4 bds6 ba- House for sale,4.0,6.0,House,Brampton
"4 Lisa St #1005, Brampton, ON L6T 4B6",495000.0,3 bds2 ba- Condo for sale,3.0,2.0,Condo,Brampton
"20 Sewells Ln, Brampton, ON L7A 3A1",849999.0,3 bds4 ba- House for sale,3.0,4.0,House,Brampton
"45 Hansen Rd N #99, Brampton, ON L6V 3C5",589000.0,3 bds3 ba- Condo for sale,3.0,3.0,Condo,Brampton
"269 Bartley Bull Pkwy, Brampton, ON L6W 2L2",979999.0,4 bds2 ba- House for sale,4.0,2.0,House,Brampton
"33 Mclaughlin Rd N, Brampton, ON L6X 1Y8",879000.0,3 bds3 ba- House for sale,3.0,3.0,House,Brampton
"7 Accent Cir, Brampton, ON L7A 0L2",1299900.0,4 bds5 ba- House for sale,4.0,5.0,House,Brampton
"4 Donlamont Cir, Brampton, ON L7A 4T5",880000.0,4 bds3 ba- Townhouse for sale,4.0,3.0,Townhouse,Brampton
"37 Averill Rd, Brampton, ON L7A 5A7",1249900.0,5 bds4 ba- House for sale,5.0,4.0,House,Brampton
"146 Williamson Dr, Brampton, ON L7A 3T9",919000.0,3 bds3 ba- House for sale,3.0,3.0,House,Brampton
"4 Lisa St #1210, Brampton, ON L6T 4B6",439900.0,2 bds1 ba- Condo for sale,2.0,1.0,Condo,Brampton
"7 Clute Springs Ct, Brampton, ON L6Y 2A5",1599900.0,5 bds5 ba- House for sale,5.0,5.0,House,Brampton
"13 Cornwall Rd, Brampton, ON L6W 1M8",799000.0,3 bds2 ba- House for sale,3.0,2.0,House,Brampton
"40 Michelangelo Blvd, Brampton, ON L6P 0H2",2499900.0,"6 bds1 ba3,800 sqft- House for sale",6.0,1.0,House,Brampton
"152 Cookview Dr, Brampton, ON L6R 3V1",1599000.0,6 bds5 ba- House for sale,6.0,5.0,House,Brampton
"14 Arizona Dr, Brampton, ON L6Y 0R6",409900.0,4 bds4 ba- Townhouse for sale,4.0,4.0,Townhouse,Brampton
"46 Dearbourne Blvd #21, Brampton, ON L6T 1J7",544999.0,Studio-- ba- Condo for sale,,,Condo,Brampton
"8351 Mclaughlin Rd #216, Brampton, ON L6Y 4H8",425000.0,2 bds2 ba- Condo for sale,2.0,2.0,Condo,Brampton
"1 Bettey Rd, Brampton, ON L6P 1S9",1379000.0,8 bds5 ba- House for sale,8.0,5.0,House,Brampton
"15 Tinsmith St, Brampton, ON L7A 1N3",684900.0,3 bds1 ba700 sqft- House for sale,3.0,1.0,House,Brampton
"7399 Mayfield Rd, Brampton, ON L6P 0H7",2000000.0,5 bds2 ba- House for sale,5.0,2.0,House,Brampton
"53 Michelangelo Blvd, Brampton, ON L6P 0H1",2874000.0,"14 bds1 ba10,267 sqft- House for sale",14.0,1.0,House,Brampton
"24 Padbury Trl, Brampton, ON L7A 4V2",1249000.0,"5 bds1 ba3,433 sqft- House for sale",5.0,1.0,House,Brampton
"45 Yorkland Blvd #905, Brampton, ON L6P 4B4",489900.0,2 bds1 ba- Condo for sale,2.0,1.0,Condo,Brampton
"74 Volner Rd, Brampton, ON L7A 4P3",649900.0,4 bds3 ba- Townhouse for sale,4.0,3.0,Townhouse,Brampton
"62 Corby Cres, Brampton, ON L6Y 1H1",569900.0,"4 bds2 ba1,488 sqft- House for sale",4.0,2.0,House,Brampton
"27 Bonsai Ln, Brampton, ON L7A 0T9",799000.0,3 bds3 ba- House for sale,3.0,3.0,House,Brampton
"4 Backwater Trl LOT 383, Brampton, ON L7A 5B9",620000.0,"2 bds2 ba1,310 sqft- House for sale",2.0,2.0,House,Brampton
"33 Manitou Cres, Brampton, ON L6S 2Z6",735000.0,Studio3 ba- House for sale,,3.0,House,Brampton
"38 Estateview Cir, Brampton, ON L6P 0R6",2745000.0,Studio-- ba- House for sale,,,House,Brampton
"8 Rangemore Rd, Brampton, ON L7A 4V8",760000.0,3 bds3 ba- House for sale,3.0,3.0,House,Brampton
"2 Leo Austin Rd, Brampton, ON L6P 4C2",1499000.0,4 bds4 ba- House for sale,4.0,4.0,House,Brampton
"75 Sweetwood Cir, Brampton, ON L7A 2S2",689000.0,Studio-- ba- House for sale,,,House,Brampton
"111 Seaside Cir, Brampton, ON L6R 2G9",474900.0,3 bds-- ba- House for sale,3.0,,House,Brampton
"Hindquarter Ct, Brampton, ON L6S 2C2",280000.0,4 bds2 ba- House for sale,4.0,2.0,House,Brampton
"36 Matthew Harrison St, Brampton, ON L6P 3H3",729000.0,4 bds3 ba- House for sale,4.0,3.0,House,Brampton
"7 Milford Cres, Brampton, ON L6S 3E3",569900.0,5 bds4 ba- House for sale,5.0,4.0,House,Brampton
"159 Brisdale Dr, Brampton, ON L7A 2Y8",529900.0,4 bds4 ba- House for sale,4.0,4.0,House,Brampton
"21 Eagle Plain Dr, Brampton, ON L6R 3M6",1199000.0,3 bds4 ba- House for sale,3.0,4.0,House,Brampton
"36 Forestgrove Cir, Brampton, ON L6Z 4T4",949000.0,3 bds4 ba- House for sale,3.0,4.0,House,Brampton
"18 Pepperbush Rd, Brampton, ON L6P 2L2",1299900.0,4 bds5 ba- House for sale,4.0,5.0,House,Brampton
"LOT 174 Benhurst Cres, Brampton, ON L7A 5A5",1010000.0,4 bds3 ba- Townhouse for sale,4.0,3.0,Townhouse,Brampton
"53 Wynview St, Brampton, ON L6P 3N3",999000.0,6 bds4 ba- House for sale,6.0,4.0,House,Brampton
"128 Simmons Blvd, Brampton, ON L6V 3V6",779900.0,3 bds3 ba- House for sale,3.0,3.0,House,Brampton
"57 Elwin Rd, Brampton, ON L6X 5J7",1049000.0,4 bds6 ba- House for sale,4.0,6.0,House,Brampton
"45 Kingswood Dr, Brampton, ON L6V 2X5",749900.0,4 bds1 ba- Townhouse for sale,4.0,1.0,Townhouse,Brampton
"3 Dalbeattie Dr, Brampton, ON L6Y 6H3",799000.0,"4 bds3 ba1,822 sqft- Townhouse for sale",4.0,3.0,Townhouse,Brampton
"43 Kempenfelt Trl, Brampton, ON L7A 0Z7",839900.0,3 bds4 ba- Townhouse for sale,3.0,4.0,Townhouse,Brampton
"4 Sedgegrass Way, Brampton, ON L6R 3C8",1043000.0,3 bds4 ba- House for sale,3.0,4.0,House,Brampton
"86 Charleswood Cir, Brampton, ON L7A 1Z1",849900.0,3 bds4 ba- House for sale,3.0,4.0,House,Brampton
"99 Aloma Cres, Brampton, ON L6T 2N8",799900.0,5 bds3 ba- House for sale,5.0,3.0,House,Brampton
"28 Bonavista Dr, Brampton, ON L6X 0N2",1279903.0,4 bds4 ba- House for sale,4.0,4.0,House,Brampton
"71 Newlyn Cres, Brampton, ON L6V 3A9",799900.0,5 bds3 ba- House for sale,5.0,3.0,House,Brampton
"182 Sunny Meadow Blvd, Brampton, ON L6R 2Z2",1199000.0,4 bds4 ba- House for sale,4.0,4.0,House,Brampton
"24 Black Forest Dr, Brampton, ON L6R 2M8",1050000.0,3 bds4 ba- House for sale,3.0,4.0,House,Brampton
"221 Murray St, Brampton, ON L6X 3L8",849000.0,3 bds3 ba- House for sale,3.0,3.0,House,Brampton
"50 Sky Harbour Dr #406, Brampton, ON L6Y 6B8",549000.0,3 bds2 ba- Condo for sale,3.0,2.0,Condo,Brampton
"9 Dalton Pl, Brampton, ON L6T 1N6",719999.0,4 bds2 ba- House for sale,4.0,2.0,House,Brampton
"53 Royal Orchard Dr, Brampton, ON L6X 4M6",788999.0,2 bds2 ba- House for sale,2.0,2.0,House,Brampton
"12 Norfolk Ave, Brampton, ON L6X 2B5",879900.0,6 bds4 ba- House for sale,6.0,4.0,House,Brampton
"16 Polstar Rd, Brampton, ON L7A 4H1",1249000.0,4 bds4 ba- House for sale,4.0,4.0,House,Brampton
"65 Yorkland Blvd N #605, Brampton, ON L6P 4M5",499999.0,2 bds2 ba- Condo for sale,2.0,2.0,Condo,Brampton
"33 Baby Pointe Trl, Brampton, ON L7A 0W3",929900.0,4 bds3 ba- House for sale,4.0,3.0,House,Brampton
"8 Dayspring Cir #1422, Brampton, ON L6P 2Z7",510000.0,3 bds2 ba- Condo for sale,3.0,2.0,Condo,Brampton
"31 Colleyville St, Brampton, ON L7A 1G8",999997.0,"4 bds4 ba2,109 sqft- House for sale",4.0,4.0,House,Brampton
"25 Flamingo Cres, Brampton, ON L6T 2G4",799000.0,"5 bds3 ba1,100 sqft- House for sale",5.0,3.0,House,Brampton
"34 Reeve Rd, Brampton, ON L6X 2M7",829600.0,4 bds2 ba- House for sale,4.0,2.0,House,Brampton
"52 Lisson Cres, Brampton, ON L6X 5H9",1699000.0,7 bds7 ba- House for sale,7.0,7.0,House,Brampton
"5 Dunure Cres, Brampton, ON L7A 2Y5",799900.0,4 bds4 ba- House for sale,4.0,4.0,House,Brampton
"9 George St N #2206, Brampton, ON L6X 0T6",565000.0,2 bds2 ba- Condo for sale,2.0,2.0,Condo,Brampton
"12 Rodwell Ct, Brampton, ON L6Y 4G7",999999.0,3 bds4 ba- House for sale,3.0,4.0,House,Brampton
"74 Majestic Cres, Brampton, ON L6S 3N2",849900.0,3 bds2 ba- House for sale,3.0,2.0,House,Brampton
"50 Sky Harbour Dr #418, Brampton, ON L6Y 6B8",569000.0,2 bds2 ba- Condo for sale,2.0,2.0,Condo,Brampton
"8351 Mclaughlin Rd S #136, Brampton, ON L6Y 4H8",405000.0,1 bd1 ba- Condo for sale,1.0,1.0,Condo,Brampton
"20 Trailhead Cres, Brampton, ON L6R 3H3",1399900.0,4 bds6 ba- House for sale,4.0,6.0,House,Brampton
"51 Stirrup Ct, Brampton, ON L6X 5A2",799900.0,5 bds4 ba- Townhouse for sale,5.0,4.0,Townhouse,Brampton
"10 Truro Cir, Brampton, ON L7A 4E4",1049990.0,4 bds3 ba- House for sale,4.0,3.0,House,Brampton
"45 Ravenscliffe Ct, Brampton, ON L6X 4N8",890000.0,3 bds4 ba- House for sale,3.0,4.0,House,Brampton
"20 Dragon Tree Cres, Brampton, ON L6R 2P6",1349000.0,7 bds5 ba- House for sale,7.0,5.0,House,Brampton
"13 Mount Ranier Cres, Brampton, ON L6R 2K8",799000.0,3 bds2 ba- House for sale,3.0,2.0,House,Brampton
"10699 Clarkway Dr, Brampton, ON L6P 0W2",1799000.0,4 bds2 ba- House for sale,4.0,2.0,House,Brampton
"128 Simmons Blvd, Brampton, ON L6V 3V6",779900.0,4 bds3 ba- House for sale,4.0,3.0,House,Brampton
"1 Beecroft Ct, Whitby, ON L1P 1C7",699000.0,3 bds2 ba- House for sale,3.0,2.0,House,Whitby
"37 Waller St, Whitby, ON L1R 1Z8",899900.0,4 bds4 ba- House for sale,4.0,4.0,House,Whitby
"32 Winston Cres, Whitby, ON L1N 6Y1",699000.0,3 bds2 ba- House for sale,3.0,2.0,House,Whitby
"53 Westfield Dr, Whitby, ON L1P 0E8",1399900.0,5 bds4 ba- House for sale,5.0,4.0,House,Whitby
"31 Lake Ridge Rd S, Whitby, ON L1P 1Y9",1200000.0,3 bds2 ba- House for sale,3.0,2.0,House,Whitby
"8 Prospect Way, Whitby, ON L1N 0L4",679900.0,3 bds3 ba- Townhouse for sale,3.0,3.0,Townhouse,Whitby
"47 Scott St, Whitby, ON L1N 3L2",1200000.0,4 bds3 ba- House for sale,4.0,3.0,House,Whitby
"28 Melborne Ct, Whitby, ON L1R 1S2",669900.0,3 bds2 ba- House for sale,3.0,2.0,House,Whitby
"198 Melissa Cres, Whitby, ON L1N 8G7",824900.0,3 bds4 ba- House for sale,3.0,4.0,House,Whitby
"6 Ian Fleming Cres, Whitby, ON L1R 2E2",800000.0,3 bds3 ba- House for sale,3.0,3.0,House,Whitby
"110 Sonley Dr, Whitby, ON L1R 3R4",999000.0,4 bds3 ba- House for sale,4.0,3.0,House,Whitby
"53 Norista St, Whitby, ON L1R 3R4",889800.0,4 bds3 ba- House for sale,4.0,3.0,House,Whitby
"11 Ipswich Pl, Whitby, ON L1M 2K2",999999.0,4 bds4 ba- House for sale,4.0,4.0,House,Whitby
"69 Janedale Cres, Whitby, ON L1N 6Z5",699900.0,3 bds2 ba- House for sale,3.0,2.0,House,Whitby
"43 Mildenhall Pl, Whitby, ON L1M 0E5",799900.0,4 bds3 ba- House for sale,4.0,3.0,House,Whitby
"64 Stratton Cres, Whitby, ON L1R 1V5",949000.0,4 bds4 ba- House for sale,4.0,4.0,House,Whitby
"5 Michael Blvd #17, Whitby, ON L1N 5P4",499900.0,4 bds2 ba- Townhouse for sale,4.0,2.0,Townhouse,Whitby
"24 Magpie Way, Whitby, ON L1N 0K7",699999.0,3 bds4 ba- Townhouse for sale,3.0,4.0,Townhouse,Whitby
"29 Mac Carl Cres, Whitby, ON L1R 2T6",1260000.0,6 bds4 ba- House for sale,6.0,4.0,House,Whitby
"132 Melissa Cres, Whitby, ON L1N 8G2",749900.0,2 bds3 ba- House for sale,2.0,3.0,House,Whitby
"622 Sugar Maple Cres, Whitby, ON L1N 7V8",649999.0,3 bds3 ba- House for sale,3.0,3.0,House,Whitby
"32 Bettina Pl, Whitby, ON L1R 0E9",799888.0,3 bds3 ba- House for sale,3.0,3.0,House,Whitby
"61 Seaboard Gate, Whitby, ON L1N 9P2",949649.0,4 bds3 ba- House for sale,4.0,3.0,House,Whitby
"133 Baycliffe Dr, Whitby, ON L1P 1V5",949900.0,"4 bds3 ba1,900 sqft- House for sale",4.0,3.0,House,Whitby
"38 Kantium Way, Whitby, ON L1N 0L4",699900.0,3 bds4 ba- Townhouse for sale,3.0,4.0,Townhouse,Whitby
"14 Bexley Cres, Whitby, ON L1M 2C7",680000.0,3 bds2 ba- Townhouse for sale,3.0,2.0,Townhouse,Whitby
"52 Evergreen Dr, Whitby, ON L1N 6N6",949000.0,3 bds3 ba- House for sale,3.0,3.0,House,Whitby
"233 Willowbrook Dr, Whitby, ON L1R 2Z1",749900.0,4 bds4 ba- House for sale,4.0,4.0,House,Whitby
"104 Coho Dr, Whitby, ON L1P 0E6",788000.0,3 bds3 ba- Townhouse for sale,3.0,3.0,Townhouse,Whitby
"10 Bassett Blvd #56, Whitby, ON L1N 9C3",679900.0,3 bds2 ba- Townhouse for sale,3.0,2.0,Townhouse,Whitby
"5 Morningstar Ave, Whitby, ON L1R 0H6",1297000.0,4 bds4 ba- House for sale,4.0,4.0,House,Whitby
"1020 Dunsley Way #1, Whitby, ON L1N 0L5",599888.0,3 bds2 ba- Townhouse for sale,3.0,2.0,Townhouse,Whitby
"21 Nieuwendyk St, Whitby, ON L1P 1W5",998000.0,5 bds3 ba- House for sale,5.0,3.0,House,Whitby
"47 Latchford Way, Whitby, ON L1N 0G2",649900.0,3 bds3 ba- Townhouse for sale,3.0,3.0,Townhouse,Whitby
"1040 Elton Way #10, Whitby, ON L1N 0L3",649000.0,3 bds3 ba- Townhouse for sale,3.0,3.0,Townhouse,Whitby
"52 Juneau Cres, Whitby, ON L1R 3A3",729000.0,3 bds4 ba- House for sale,3.0,4.0,House,Whitby
"Kendalwood A Plan, Ivy Ridge",989990.0,"4 bds4 ba3,204 sqft- New construction",4.0,4.0,New Construction,Ivy Ridge
"711 Rossland Rd E #202, Whitby, ON L1N 8Z1",360000.0,1 bd1 ba- Condo for sale,1.0,1.0,Condo,Whitby
"Belmont B Plan, Ivy Ridge",959990.0,"3 bds3 ba2,727 sqft- New construction",3.0,3.0,New Construction,Ivy Ridge
"16 Heaver Dr, Whitby, ON L1N 8X2",739000.0,3 bds4 ba- House for sale,3.0,4.0,House,Whitby
"Leith D Plan, Ivy Ridge",879990.0,"4 bds3 ba2,164 sqft- New construction",4.0,3.0,New Construction,Ivy Ridge
"27 Southwell Ave, Whitby, ON L1P 1N4",1175000.0,4 bds4 ba- House for sale,4.0,4.0,House,Whitby
"47 Salmon Way, Whitby, ON L1N 9M8",629999.0,4 bds2 ba- Condo for sale,4.0,2.0,Condo,Whitby
"10 Christine Elliot Ave, Whitby, ON L1P 0B9",1090000.0,4 bds4 ba- House for sale,4.0,4.0,House,Whitby
"149 Kirkland Pl, Whitby, ON L1P 1X2",699000.0,3 bds3 ba- House for sale,3.0,3.0,House,Whitby
"3 Visser Ct, Whitby, ON L1N 9A6",788000.0,4 bds2 ba- House for sale,4.0,2.0,House,Whitby
"112 Michael Blvd, Whitby, ON L1N 5V9",899900.0,3 bds2 ba- House for sale,3.0,2.0,House,Whitby
"5 Charest Pl, Whitby, ON L1M 2B1",899000.0,3 bds3 ba- House for sale,3.0,3.0,House,Whitby
"120 Hunter St, Whitby, ON L1N 2H1",2300000.0,"10 bds8 ba6,098 sqft- House for sale",10.0,8.0,House,Whitby
"15 Northcastle Cres, Whitby, ON L1M 0H8",1100000.0,4 bds5 ba- House for sale,4.0,5.0,House,Whitby
"41 Pine Gate Pl, Whitby, ON L1R 2M6",849900.0,4 bds3 ba- House for sale,4.0,3.0,House,Whitby
"843 White Ash Dr, Whitby, ON L1N 7L8",890000.0,3 bds3 ba- House for sale,3.0,3.0,House,Whitby
"Rosemount D Plan, Ivy Ridge",934990.0,"4 bds3 ba2,617 sqft- New construction",4.0,3.0,New Construction,Ivy Ridge
"126 Zachary Pl, Whitby, ON L1M 1E2",779900.0,3 bds3 ba- Townhouse for sale,3.0,3.0,Townhouse,Whitby
"8 Owen Ct, Whitby, ON L1N 6E7",888000.0,4 bds3 ba- House for sale,4.0,3.0,House,Whitby
"20 Micklefield Ave, Whitby, ON L1P 0C3",1388800.0,4 bds6 ba- House for sale,4.0,6.0,House,Whitby
"17 Barnabas St, Whitby, ON L1R 0H6",999999.0,4 bds4 ba- House for sale,4.0,4.0,House,Whitby
"17 Prospect Way, Whitby, ON L1N 0L4",769000.0,3 bds4 ba- House for sale,3.0,4.0,House,Whitby
"136 Underwood Dr, Whitby, ON L1M 0K9",699000.0,3 bds3 ba- House for sale,3.0,3.0,House,Whitby
"806 Henry St, Whitby, ON L1N 5E3",1049000.0,3 bds4 ba- House for sale,3.0,4.0,House,Whitby
"Welton A Plan, Ivy Ridge",929990.0,"4 bds4 ba2,699 sqft- New construction",4.0,4.0,New Construction,Ivy Ridge
"6 Tom Edwards Dr, Whitby, ON L1R 2R4",1088000.0,5 bds4 ba- House for sale,5.0,4.0,House,Whitby
