address,price,details,bedrooms,bathrooms,category,city
"11 San Marko Pl, Vaughan, ON L4L 7M6",1249900.0,4 bds3 ba- House for sale,4.0,3.0,House,Vaughan
"7378 Yonge St #311A, Vaughan, ON L4J 8J1",439000.0,1 bd1 ba- Condo for sale,1.0,1.0,Condo,Vaughan
"182 Tansley Rd, Vaughan, ON L4J 4E7",1389000.0,4 bds4 ba- House for sale,4.0,4.0,House,Vaughan
"116 Jaimie Rd, Vaughan, ON L4J 6A5",948800.0,3 bds4 ba- House for sale,3.0,4.0,House,Vaughan
"6 Pinewood Dr, Vaughan, ON L4J 5P4",1438000.0,7 bds4 ba- House for sale,7.0,4.0,House,Vaughan
"146 Arianna Cres, Vaughan, ON L6A 4Z9",1199888.0,4 bds4 ba- Townhouse for sale,4.0,4.0,Townhouse,Vaughan
"847 Clark Ave W, Vaughan, ON L4J 7M1",1360000.0,3 bds3 ba- Townhouse for sale,3.0,3.0,Townhouse,Vaughan
"64 Lady Angela Ln, Vaughan, ON L6A 4S7",1588000.0,4 bds4 ba- House for sale,4.0,4.0,House,Vaughan
"111 Greenview Cir, Vaughan, ON L6A 0B6",1490000.0,5 bds4 ba- House for sale,5.0,4.0,House,Vaughan
"247 Hammerstone Cres, Vaughan, ON L4J 8A9",1299900.0,4 bds4 ba- House for sale,4.0,4.0,House,Vaughan
"45 York Hill Blvd, Vaughan, ON L4J 6X5",1999900.0,5 bds5 ba- House for sale,5.0,5.0,House,Vaughan
"238 Moody Dr, Vaughan, ON L4H 3Z6",999900.0,3 bds3 ba- House for sale,3.0,3.0,House,Vaughan
"8169 Kipling Ave #29, Vaughan, ON L4L 0G4",549900.0,2 bds1 ba- Condo for sale,2.0,1.0,Condo,Vaughan
"8 Shemer Dr, Vaughan, ON L4J 9A6",999000.0,3 bds4 ba- Townhouse for sale,3.0,4.0,Townhouse,Vaughan
"100 Promenade Cir #1409, Vaughan, ON L4J 7W7",498000.0,1 bd1 ba- Condo for sale,1.0,1.0,Condo,Vaughan
"8777 Dufferin St #13, Vaughan, ON L4J 8W3",899000.0,3 bds3 ba- Townhouse for sale,3.0,3.0,Townhouse,Vaughan
"110 Promenade Cir #512, Vaughan, ON L4J 7W8",788807.0,2 bds2 ba- Condo for sale,2.0,2.0,Condo,Vaughan
"7 Brighton Pl #54, Vaughan, ON L4J 0H1",899900.0,3 bds3 ba- House for sale,3.0,3.0,House,Vaughan
"43 Roseborough Cres, Vaughan, ON L4J 4T7",1399000.0,4 bds4 ba- House for sale,4.0,4.0,House,Vaughan
"35 Campi Rd, Vaughan, ON L4H 0N2",1598000.0,4 bds4 ba- House for sale,4.0,4.0,House,Vaughan
"10614 Bathurst St, Vaughan, ON L6A 4Y4",899800.0,3 bds3 ba- Townhouse for sale,3.0,3.0,Townhouse,Vaughan
"17 Fitzmaurice Dr, Vaughan, ON L6A 4X7",1999999.0,5 bds6 ba- House for sale,5.0,6.0,House,Vaughan
"152 Vanguard Rd, Vaughan, ON L4K 5G8",999900.0,3 bds3 ba- Townhouse for sale,3.0,3.0,Townhouse,Vaughan
"71 Goyo Gate, Vaughan, ON L6A 3T3",1149000.0,3 bds3 ba- House for sale,3.0,3.0,House,Vaughan
"5299 Highway 7 St #C603, Vaughan, ON L4L 0J1",749000.0,2 bds3 ba- Townhouse for sale,2.0,3.0,Townhouse,Vaughan
"26 Bruce St #D09, Vaughan, ON L4L 0H4",668888.0,2 bds2 ba- Townhouse for sale,2.0,2.0,Townhouse,Vaughan
"32 Kimbergate Way, Vaughan, ON L4J 6R5",1198880.0,4 bds4 ba- House for sale,4.0,4.0,House,Vaughan
