address,price,details
"152 Vanguard Rd, Vaughan, ON L4K 5G8","C$999,900",3 bds3 ba- Townhouse for sale
"71 Goyo Gate, Vaughan, ON L6A 3T3","C$1,149,000",3 bds3 ba- House for sale
"5299 Highway 7 St #C603, Vaughan, ON L4L 0J1","C$749,000",2 bds3 ba- Townhouse for sale
"26 Bruce St #D09, Vaughan, ON L4L 0H4","C$668,888",2 bds2 ba- Townhouse for sale
"32 Kimbergate Way, Vaughan, ON L4J 6R5","C$1,198,880",4 bds4 ba- House for sale
"237 Deerchase Cir, Vaughan, ON L4H 1G9","C$2,199,900",4 bds5 ba- House for sale
"46 Burgundy Trl, Vaughan, ON L4J 8V9","C$1,399,900",3 bds4 ba- House for sale
"57 Dimarino Dr, Vaughan, ON L6A 0E8","C$1,799,000",5 bds5 ba- House for sale
"10596 Bathurst St, Vaughan, ON L6A 4Y4","C$999,999",4 bds4 ba- Townhouse for sale
"10 Athena Ct, Vaughan, ON L4L 3H4","C$1,285,900",5 bds4 ba- House for sale
"168 Seabreeze Ave, Vaughan, ON L4J 9H2","C$1,580,000",4 bds5 ba- House for sale
"525 Chancellor Dr, Vaughan, ON L4L 5G2","C$1,199,000",4 bds4 ba- House for sale
"54 Carpaccio Ave, Vaughan, ON L4H 4R5","C$1,100,000","4 bds4 ba2,300 sqft- New construction"
"130 Gesher Cres, Vaughan, ON L6A 0W9","C$1,100,000",4 bds4 ba- House for sale
"98 Golden Trl, Vaughan, ON L6A 5A1","C$1,359,900",4 bds3 ba- Townhouse for sale
"132 Spring Gate Blvd, Vaughan, ON L4J 3L8","C$1,980,000",4 bds4 ba- House for sale
"38 Santina St, Vaughan, ON L4H 2M2","C$1,649,000",4 bds5 ba- House for sale
"6 Criscione Dr, Vaughan, ON L4H 1W9","C$1,357,900",5 bds4 ba- House for sale
"492 Greenock Dr, Vaughan, ON L6A 1M7","C$1,299,999",3 bds4 ba- House for sale
"2502 Rutherford Rd #204, Vaughan, ON L4K 5N6","C$699,900",2 bds2 ba- Condo for sale
"142 Ferdinand Ave, Vaughan, ON L6A 3H4","C$1,449,000",4 bds4 ba- House for sale
"89 Echo Ridge Cres, Vaughan, ON L4H 2K1","C$1,049,000",3 bds4 ba- House for sale
"41 Gianmarco Way, Vaughan, ON L6A 3J3","C$899,900",3 bds4 ba- Townhouse for sale
"82 Arianna Cres, Vaughan, ON L6A 4Z9","C$1,289,900",3 bds4 ba- Townhouse for sale
"19 Cedarpoint Ct, Vaughan, ON L6A 4P7","C$2,999,900",5 bds6 ba- House for sale
"7 Townsgate Dr #707, Vaughan, ON L4J 7Z9","C$814,987",2 bds2 ba- Condo for sale
"164 Parktree Dr, Vaughan, ON L6A 2W5","C$989,000",3 bds3 ba- Townhouse for sale
"210 Maple Sugar Ln, Vaughan, ON L4J 8V3","C$999,900",3 bds3 ba- House for sale
"15 Abner Miles Dr, Vaughan, ON L6A 4X6","C$2,499,900",5 bds7 ba- House for sale
"110 Promenade Cir #1612, Vaughan, ON L4J 7W8","C$838,000",2 bds2 ba- Condo for sale
"149 Black Maple Cres, Vaughan, ON L6A 4G6","C$999,900",3 bds3 ba- House for sale
"74 Chaiwood Ct, Vaughan, ON L6A 0V9","C$2,999,999",4 bds6 ba- House for sale
"9560 Islington Ave #228, Vaughan, ON L4H 4Z5","C$788,888","2 bds3 ba1,110 sqft- Townhouse for sale"
"3 Ivy Glen Dr, Vaughan, ON L6A 0P3","C$1,999,999",5 bds4 ba- House for sale
"2900 Highway 7 Rd #3407, Vaughan, ON L4K 0G3","C$840,000",2 bds2 ba- Condo for sale
"96 Coles Ave, Vaughan, ON L4L 1L9","C$877,000","3 bds4 ba2,280 sqft- House for sale"
"2 Sweet Emily Ct, Vaughan, ON L6A 0G6","C$2,168,000",4 bds4 ba- House for sale
"72 Glen Cres, Vaughan, ON L4J 4W6","C$1,320,000",5 bds4 ba- House for sale
"41 Laskin Dr, Vaughan, ON L6A 5A4","C$999,800",3 bds4 ba- Townhouse for sale
"83 Roseheath Dr, Vaughan, ON L6A 2B6","C$889,000",3 bds3 ba- Townhouse for sale
"5 Angelico Ave, Vaughan, ON L4H 3L3","C$1,299,000",3 bds3 ba- House for sale
"116 Cabernet Rd, Vaughan, ON L4J 8V7","C$1,118,000",3 bds3 ba- Townhouse for sale
"122 Vittorio De Luca Dr, Vaughan, ON L4L 0A8","C$924,900",3 bds3 ba- House for sale
"68 Neuchatel Ave, Vaughan, ON L4H 2Y3","C$1,424,990",5 bds4 ba- House for sale
"1 Maison Parc Ct #303, Vaughan, ON L4J 9K1","C$505,000",1 bd1 ba- Condo for sale
"2 Savona Pl, Vaughan, ON L6A 4H4","C$1,499,000",4 bds4 ba- House for sale
"2396 Major Mackenzie Dr W #207, Vaughan, ON L6A 4Y1","C$530,000",1 bd1 ba- Condo for sale
"9245 Jane St #1003, Vaughan, ON L6A 0J9","C$524,999",1 bd2 ba- Condo for sale
"49 Miranda Ct, Vaughan, ON L4J 7W5","C$1,999,000",4 bds5 ba- House for sale
"1 Maison Parc Ct #518, Vaughan, ON L4J 9K1","C$669,900",2 bds2 ba- Condo for sale
"9245 Jane St UNIT 1206, Vaughan, ON L6A 0J9","C$1,129,000",2 bds3 ba- Condo for sale
"125 David Todd Ave, Vaughan, ON L4H 1R4","C$1,099,000",4 bds4 ba- House for sale
"159 Green Bush Cres, Vaughan, ON L4J 5L8","C$1,418,000",6 bds4 ba- House for sale
"46 Derrywood Dr, Vaughan, ON L4K 5H5","C$1,214,000",4 bds4 ba- House for sale
"271 Kincardine St, Vaughan, ON L4H 4H8","C$1,285,000",3 bds4 ba- House for sale
"91 Townsgate Dr #808, Vaughan, ON L4J 8E8","C$619,999",2 bds2 ba- Condo for sale
"32 Kaia Ct, Vaughan, ON L6A 4T9","C$3,398,000",4 bds6 ba- House for sale
"93 Venice Gate Dr, Vaughan, ON L4H 0E8","C$1,149,000",3 bds4 ba- House for sale
"9 Sadot Ct, Vaughan, ON L4J 8A8","C$2,088,000",5 bds5 ba- House for sale
"33 Cherokee Dr, Vaughan, ON L6A 1X3","C$1,599,000",4 bds4 ba- House for sale
"333 Clark Ave W #401, Vaughan, ON L4J 7K4","C$799,000",2 bds2 ba- Condo for sale
"39 Old Firehall Ln #18, Vaughan, ON L4L 8W3","C$898,000",3 bds3 ba- Townhouse for sale
"138 District Ave, Vaughan, ON L6A 0Y3","C$2,088,000",4 bds6 ba- House for sale
"2 Hesperus Rd, Vaughan, ON L4J 0K3","C$1,699,000",4 bds6 ba- House for sale
"39 Monte Cristi St, Vaughan, ON L6A 3H8","C$1,180,000",3 bds5 ba- House for sale
"149 Hesperus Rd, Vaughan, ON L4J 0G9","C$1,588,000",4 bds4 ba- House for sale
"9235 Jane St #515, Vaughan, ON L6A 0J8","C$529,000","1 bd1 ba1,721 sqft- Condo for sale"
"58 Hendel Dr, Vaughan, ON L4J 9H7","C$1,800,000",5 bds5 ba- House for sale
"18 Journal Ave, Vaughan, ON L6A 3H1","C$1,099,999",3 bds4 ba- House for sale
"35 Alex Black St, Vaughan, ON L6A 0V5","C$2,099,000",4 bds4 ba- House for sale
"55 Hollybush Dr, Vaughan, ON L6A 2H5","C$1,099,888",3 bds4 ba- House for sale
"9245 Jane St UNIT 312, Vaughan, ON L6A 0J9","C$549,900",1 bd2 ba- Condo for sale
"29 Sanibel Cres, Vaughan, ON L4J 8G9","C$3,175,000",4 bds6 ba- House for sale
"36 Zafarullah Khan Cres, Vaughan, ON L6A 3A5","C$1,299,000",5 bds5 ba- House for sale
"158 Bachman Dr, Vaughan, ON L6A 3R7","C$1,290,888",3 bds4 ba- House for sale
"245 Ahmadiyya Ave, Vaughan, ON L6A 3A6","C$1,290,000",5 bds4 ba- House for sale
"2900 Highway 7 Rd #504, Vaughan, ON L4K 0G2","C$569,900",1 bd2 ba- Condo for sale
"16 Ferretti St, Vaughan, ON L6A 0H6","C$1,790,000",4 bds5 ba- House for sale
"2900 Highway 7 Rd W #2506, Vaughan, ON L4K 0G3","C$784,900",2 bds2 ba- Condo for sale
"5289 Highway 7 #B202, Vaughan, ON L4L 8P7","C$718,000",2 bds2 ba- Townhouse for sale
"29 Pinewood Dr, Vaughan, ON L4J 5P4","C$2,288,000",4 bds4 ba- House for sale
"82 Westolivia Trl, Vaughan, ON L4J 0C1","C$999,800",4 bds4 ba- House for sale
"223 Kayla Cres, Vaughan, ON L6A 3P3","C$1,118,000",4 bds3 ba- House for sale
"544 Mactier Dr, Vaughan, ON L4H 4T9","C$1,728,880",5 bds4 ba- House for sale
"108 Sunset Ter, Vaughan, ON L4H 4S2","C$1,128,888",3 bds3 ba- Townhouse for sale
"23 Siena Dr, Vaughan, ON L4H 3K2","C$1,779,999",5 bds4 ba- House for sale
"27 Glenheron Cres, Vaughan, ON L6A 0G2","C$2,368,000",4 bds4 ba- House for sale
"950 Portage Pkwy #612, Vaughan, ON L4K 3Y8","C$819,000",3 bds2 ba- Condo for sale
"2910 Highway 7 Rd W #704, Vaughan, ON L4K 0G3","C$799,000",2 bds2 ba- Condo for sale
"84 Kingsview Dr, Vaughan, ON L4H 3A2","C$1,428,000",4 bds6 ba- House for sale
"329 Via Romano Blvd, Vaughan, ON L6A 0J3","C$1,758,900",6 bds4 ba- House for sale
"37 Big Hill Cres, Vaughan, ON L6A 4S1","C$1,120,000",3 bds3 ba- Townhouse for sale
"9672 Keele St, Vaughan, ON L6A 3Y6","C$1,790,000",3 bds2 ba- House for sale
"29 Strong Ave, Vaughan, ON L6A 4X2","C$2,299,000",6 bds5 ba- House for sale
"116 Renaissance Ct, Vaughan, ON L4J 7W4","C$3,999,000",5 bds6 ba- House for sale
"80 Modesto Gdns, Vaughan, ON L4L 8E1","C$2,799,000",5 bds6 ba- House for sale
"112 Peak Point Blvd, Vaughan, ON L6A 0C1","C$1,095,000",4 bds4 ba- House for sale
"333 Clark Ave W #516, Vaughan, ON L4J 7K4","C$1,280,000",2 bds2 ba- Condo for sale
"22 Chaya Sara Gdns, Vaughan, ON L6A 0Z6","C$2,638,800",4 bds6 ba- House for sale
"146 Simmons St, Vaughan, ON L4H 4X7","C$1,699,900",1 bd1 ba- House for sale
"137 Moraine Hill Dr, Vaughan, ON L6A 4P7","C$2,179,900",4 bds5 ba- House for sale
"950 Portage Pkwy #3812, Vaughan, ON L4K 0J3","C$639,900",2 bds2 ba- Condo for sale
"124 Franklin Ave, Vaughan, ON L4J 4X6","C$2,367,000",5 bds5 ba- House for sale
"369 Melville Ave, Vaughan, ON L6A 2N8","C$1,799,999",4 bds4 ba- House for sale
"9500 Highway 27 Rd, Vaughan, ON L0G 1C0","C$3,290,000",3 bds3 ba- House for sale
"9235 Jane St UNIT 1401, Vaughan, ON L6A 0J8","C$1,050,000",2 bds2 ba- Condo for sale
"20 Modesto Gdns, Vaughan, ON L4L 8V2","C$1,868,800",4 bds4 ba- Condo for sale
"4 Longbridge Rd, Vaughan, ON L4J 1L5","C$3,800,000",3 bds4 ba- House for sale
"33 Kaia Ct, Vaughan, ON L6A 4T9","C$3,588,000",5 bds7 ba- House for sale
"218 Arnold Ave, Vaughan, ON L4J 1B9","C$3,699,000",5 bds8 ba- House for sale
"38 Riverside Blvd, Vaughan, ON L4J 1H3","C$5,288,000",5 bds5 ba- House for sale
"9720 Keele St, Vaughan, ON L6A 3Y6","C$1,369,000",4 bds5 ba- House for sale
"7730 Kipling Ave #310, Vaughan, ON L4L 1Y9","C$629,900",2 bds2 ba- Condo for sale
"139 Cooks Mill Cres, Vaughan, ON L6A 0L1","C$3,488,800",5 bds7 ba- House for sale
"87 Via Toscana Dr, Vaughan, ON L4H 3V4","C$1,099,000",4 bds3 ba- House for sale
"74 Swinton Cres, Vaughan, ON L4J 3V5","C$1,058,888",4 bds2 ba- House for sale
"643 Davos Rd, Vaughan, ON L4H 0Y3","C$1,999,900",4 bds4 ba- House for sale
"1955 Highway 7 W, Vaughan, ON L4K 1V5","C$1,499,000",4 bds2 ba- House for sale
"1949 Highway 7 W, Vaughan, ON L4K 1V5","C$1,699,000",3 bds1 ba- House for sale
"100 Portage Pkwy #3603, Vaughan, ON L4K 3Y8","C$670,000",2 bds2 ba- Condo for sale
"100 Portage Pkwy #1008, Vaughan, ON L4K 3Y8","C$545,000",1 bd2 ba- Condo for sale
"81 Isaiah Dr S, Vaughan, ON L4H 0T4","C$1,669,000",3 bds4 ba- House for sale
"950 Portage Pkwy #201, Vaughan, ON L4K 3Y8","C$735,000",2 bds2 ba- Condo for sale
"61 Cedarpoint Ct, Vaughan, ON L6A 4P7","C$3,888,000",4 bds6 ba- House for sale
"36 Sgotto Blvd, Vaughan, ON L4H 1X1","C$825,000",3 bds3 ba- House for sale
"2504 Rutherford Rd #210, Vaughan, ON L4K 5N5","C$649,900",2 bds2 ba- Condo for sale
"166 Money Penny Pl #5, Vaughan, ON L4J 0K9","C$1,248,000",3 bds3 ba- House for sale
"42 Riverside Blvd, Vaughan, ON L4J 1H3","C$6,795,000",4 bds6 ba- House for sale
"100 Portage Pkwy #2911, Vaughan, ON L4K 3Y6","C$559,900",1 bd1 ba- Condo for sale
"100 Laurentian Blvd, Vaughan, ON L6A 2V8","C$2,799,000",7 bds5 ba- House for sale
"520 Steeles Ave W PENTHOUSE 12, Vaughan, ON L4J 0H2","C$568,000",1 bd1 ba- Condo for sale
"1 Tiburon Trl, Vaughan, ON L4H 3X5","C$3,799,900",4 bds7 ba- House for sale
"7300 Yonge St UNIT 1507, Vaughan, ON L4J 7Y5","C$988,000",2 bds2 ba- Condo for sale
"70 Flatbush Ave, Vaughan, ON L4L 8K2","C$3,999,888",5 bds9 ba- House for sale
"267 Arnold Ave, Vaughan, ON L4J 1C2","C$8,888,000",5 bds5 ba- House for sale
"22 Netherford Rd, Vaughan, ON L6A 1C7","C$3,200,000",5 bds9 ba- House for sale
"Charisma By Greenpark Homes 8946 Jane St, Vaughan, ON L4K 2M9","C$400,000",Studio-- ba- Condo for sale
"2015 Highway 7 St, Vaughan, ON L4K 1V6","C$2,999,000",5 bds5 ba- House for sale
"102 Wigston Pl, Vaughan, ON L4J 8C6","C$5,995,000",5 bds6 ba- House for sale
"12 Thornbank Rd, Vaughan, ON L4J 2A2","C$12,800,000",6 bds9 ba- House for sale
"9909 Pine Valley Dr #302, Vaughan, ON L4H 4M1","C$1,389,000",2 bds2 ba- Condo for sale
"53 Woodbridge Ave #409, Vaughan, ON L4L 9K9","C$649,900",1 bd1 ba- Condo for sale
"0 Thornbank Rd, Vaughan, ON L4J 2A1","C$7,499,000",6 bds9 ba- House for sale
"8188 Yonge St, Vaughan, ON L4J 1W5","C$500,000",Studio-- ba- Condo for sale
"61 Petermar Dr, Vaughan, ON L4L 1A6","C$3,499,000",4 bds4 ba- House for sale
"8165 Kipling Ave #66, Vaughan, ON L4L 0G4","C$1,199,000",3 bds4 ba- Condo for sale
"226 Townsgate Dr, Vaughan, ON L4J 8J5","C$899,000",-- sqft lot- Lot / Land for sale
"7 Elmway Ct, Vaughan, ON L4J 8V6","C$2,888,000",4 bds7 ba- House for sale
"2506 Rutherford Rd #305, Vaughan, ON L4K 5N4","C$524,900",1 bd1 ba- Condo for sale
"327 Firglen Rdg, Vaughan, ON L4L 1N6","C$2,457,888","4 bds5 ba3,052 sqft- House for sale"
"60 Hazelridge Ct, Vaughan, ON L0J 1C0","C$3,899,880",4 bds6 ba- House for sale
"8 Rosa Ct, Vaughan, ON L4H 1Z6","C$1,999,900","5 bds5 ba3,987 sqft- House for sale"
"2 Orleans Cir, Vaughan, ON L4H 0V4","C$2,198,000",4 bds5 ba- House for sale
"7 Highway 2910 #2006, Vaughan, ON L4K 2M7","C$609,999",2 bds2 ba695 sqft- Condo for sale
"2500 Rutherford Rd #409, Vaughan, ON L4K 5N7","C$649,900",2 bds2 ba- Condo for sale
"8780 Bathurst St, Vaughan, ON L4J 8A7","C$9,900,000",-- sqft lot- Lot / Land for sale
"1 Renaissance Ct, Vaughan, ON L4J 7W4","C$4,150,000",5 bds6 ba- House for sale
"Festival, Vaughan, ON L4K 5C3","C$500,000",Studio-- ba- Condo for sale
"Festival, Concord, ON L4K 5C3","C$500,000",Studio-- ba- Condo for sale
"11 Uplands Ave, Vaughan, ON L4J 1J8","C$3,090,000",5 bds2 ba- House for sale
"145 Renaissance Ct, Vaughan, ON L4J 7W4","C$3,895,000",5 bds6 ba- House for sale
"M2 Towns, Vaughan, ON L4K 5Z8","C$690,000","Studio-- ba2,607 sqft- House for sale"
"The Arthur Crafted Townhomes, Toronto, ON L6A 3Y9","C$930,000",Studio-- ba- House for sale
"20 Uplands Ave, Vaughan, ON L4J 1J9","C$4,780,000",5 bds7 ba- House for sale
"39 Elmway Ct, Vaughan, ON L4J 8V6","C$2,899,000",5 bds6 ba- House for sale
"4660 Kirby Rd, Vaughan, ON L4L 1A6","C$4,250,000",-- sqft lot- Lot / Land for sale
"249 Upper Post Rd, Vaughan, ON L6A 4K1","C$2,438,000",4 bds5 ba- House for sale
"0 Park Dr, Vaughan, ON L4L 2H3","C$1,980,000",-- sqft lot- Lot / Land for sale
"7 Brighton Pl #6, Vaughan, ON L4J 0H1","C$690,000",4 bds3 ba- Townhouse for sale
"Promenade Park Towers #2, Thornhill, ON L4J 4P8","C$450,000",Studio-- ba- Condo for sale
"7651 Keele St, Vaughan, ON L4K 1Y5","C$2,200,000",-- sqft lot- Lot / Land for sale
"7661 Keele St, Vaughan, ON L4K 1Y5","C$2,200,000",-- sqft lot- Lot / Land for sale
"99 Eagle Rock Way #728, Vaughan, ON L6A 4Z4","C$399,999",1 bd1 ba510 sqft- Condo for sale
"Promenade Park, Towers Thornhill, ON L4J 4P8","C$600,000",Studio-- ba- Condo for sale
"The Thornhill, Thornhill, ON L4J 0G8","C$479,900",1 bd1 ba607 sqft- Condo for sale
"Linx, Toronto, ON M4C 1L4","C$500,000",1 bd-- ba- Condo for sale
"100 New Park Pl, Vaughan, ON L4K 0J3","C$749,000",2 bds2 ba818 sqft- Condo for sale
"Mobilio & Towns, Vaughan, ON L4K 2M7","C$450,000","Studio-- ba1,115 sqft- Condo for sale"
"59 City Park Cir, Vaughan, ON L4L 0H2","C$780,000",3 bds4 ba- Townhouse for sale
"20 Lady Fenyrose Ave, Vaughan, ON L6A 0E2","C$2,060,000",4 bds-- ba- Townhouse for sale
"25 Boone Cres, Vaughan, ON L4H 4V1","C$1,489,000",5 bds4 ba- House for sale
"39 Beverly Glen Blvd, [th47] Vaughan, ON L4J 0G8","C$899,000",3 bds4 ba- Townhouse for sale
"37 Beverley Glen Blvd #48, Vaughan, ON L4J 0G8","C$899,800","3 bds-- ba1,910 sqft- Townhouse for sale"
"950 Portage Pkwy #4005, Vaughan, ON L4K 3Y8","C$599,900",2 bds2 ba- Condo for sale
"130 Coalbrook Ct, Vaughan, ON L4L 9B6","C$1,499,000",4 bds4 ba- House for sale
"144 Isaac Murray Ave, Vaughan, ON L6A 2S8","C$999,000",3 bds3 ba- House for sale
"33 Wallace St #106, Vaughan, ON L4L 9L4","C$699,000",2 bds2 ba- Condo for sale
"7608 Yonge St #310, Vaughan, ON L4J 0J5","C$579,888",1 bd2 ba- Condo for sale
"57 Diploma Ave, Vaughan, ON L4H 3A7","C$1,249,000",3 bds4 ba- House for sale
"2 Catalpa Cres, Vaughan, ON L6A 0R3","C$1,296,800",5 bds4 ba- House for sale
"39 Beverley Glen Blvd #46, Vaughan, ON L4J 0G8","C$899,000",3 bds4 ba- Townhouse for sale
"10 Laval St, Vaughan, ON L4H 2Y3","C$1,029,000",3 bds3 ba- House for sale
"28 Avonmore Trl, Vaughan, ON L6A 4Y4","C$949,000",3 bds3 ba- Townhouse for sale
"146 Arianna Cres, Vaughan, ON L6A 4Z9","C$1,399,888",4 bds4 ba- Townhouse for sale
"8 Shemer Dr, Vaughan, ON L4J 9A6","C$1,125,000",3 bds4 ba- Townhouse for sale
"71 Goyo Gate, Vaughan, ON L6A 3T3","C$1,168,000",3 bds3 ba- House for sale
"60 5th Ave, Vaughan, ON L4L 6Z5","C$1,998,000",4 bds6 ba- House for sale
"5289 Highway 7 #B202, Vaughan, ON L4L 8P7","C$699,000",2 bds2 ba- Townhouse for sale
"9720 Keele St, Vaughan, ON L6A 3Y6","C$1,600,000",4 bds5 ba- House for sale
"135 Pond Dr #708, Markham, ON L3T 7V6","C$599,000",2 bds2 ba- Condo for sale
"7340 Markham Rd #208, Markham, ON L3S 0B1","C$599,900",3 bds2 ba- Condo for sale
"302 Hammersly Blvd, Markham, ON L6E 2C4","C$1,198,800",4 bds4 ba- House for sale
"31 Titus St, Markham, ON L6E 0G4","C$1,488,000",4 bds4 ba- House for sale
